flag,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
N,M,1. HS,5000,5upto55,Y,G,Married,N,Blue Collar,1Low,Owner,South,9,B
Y,M,2. Some College,338717,5upto55,Y,F,Married,U,Blue Collar,3High,Owner,West,4,E
Y,M,0. lessHS,282528,7above65,Y,F,,U,Retired,1Low,Owner,West,7,E
Y,M,1. HS,155096,5upto55,Y,C,Married,Y,Professional,1Low,Owner,Northeast,1,F
N,M,1. HS,115387,5upto55,Y,J,Married,Y,Professional,1Low,Owner,Northeast,2,F
Y,M,3. Bach,638369,5upto55,Y,B,Married,N,Professional,3High,Owner,West,1,D
N,F,3. Bach,1171205,7above65,N,H,Married,Y,Retired,1Low,Renter,West,9,C
N,M,1. HS,192657,5upto55,Y,J,Married,Y,Blue Collar,1Low,Owner,Northeast,3,F
N,M,3. Bach,858375,4upto45,Y,B,Married,Y,Professional,1Low,Owner,West,3,G
Y,M,2. Some College,249517,6upto65,Y,B,Married,N,Professional,2Med,Owner,South,2,G
N,M,0. lessHS,0,1_Unk,N,E,Single,Y,Sales/Service,1Low,Renter,South,9,E
N,M,0. lessHS,12894,1_Unk,N,G,Single,Y,Blue Collar,1Low,Renter,South,6,D
N,M,0. lessHS,0,1_Unk,N,E,Married,U,Sales/Service,1Low,,Northeast,1,B
Y,M,2. Some College,355612,5upto55,Y,E,Married,U,Blue Collar,2Med,Owner,West,2,E
Y,F,1. HS,102547,5upto55,Y,F,Married,U,Blue Collar,1Low,Owner,Northeast,8,D
Y,M,0. lessHS,805204,1_Unk,Y,E,Married,N,Sales/Service,1Low,,South,5,A
Y,M,4. Grad,240056,4upto45,Y,C,Married,U,Sales/Service,3High,Owner,South,3,F
N,M,2. Some College,0,2upto25,N,F,,N,Blue Collar,1Low,Owner,South,5,A
Y,F,0. lessHS,644291,5upto55,Y,B,Married,U,Sales/Service,1Low,Owner,Northeast,1,F
N,F,2. Some College,0,2upto25,N,F,,N,Blue Collar,1Low,Renter,South,5,A
N,M,1. HS,262919,4upto45,Y,E,Married,Y,Blue Collar,1Low,Owner,South,8,G
Y,M,2. Some College,193845,4upto45,Y,E,Married,U,Sales/Service,1Low,Owner,West,5,D
N,F,0. lessHS,0,1_Unk,Y,G,Married,N,Professional,1Low,Renter,Northeast,9,A
Y,F,4. Grad,217683,5upto55,Y,E,Married,Y,Professional,3High,Owner,West,2,F
Y,M,1. HS,0,7above65,Y,E,,N,Retired,1Low,Owner,Midwest,7,F
N,F,2. Some College,281662,4upto45,Y,C,Married,Y,Professional,3High,Owner,South,1,F
N,F,2. Some College,163238,2upto25,Y,E,,Y,Sales/Service,2Med,Owner,South,3,D
N,F,2. Some College,92748,4upto45,Y,F,,U,Sales/Service,1Low,Owner,South,2,E
Y,M,1. HS,0,5upto55,Y,A,Married,U,Others,1Low,,South,6,E
N,F,2. Some College,171871,2upto25,Y,E,,U,Blue Collar,1Low,Owner,West,4,F
N,M,1. HS,74185,3upto35,Y,B,,N,Blue Collar,1Low,Owner,South,5,E
Y,F,3. Bach,343350,5upto55,Y,C,Married,Y,Sales/Service,3High,Owner,Midwest,2,G
Y,F,4. Grad,331043,5upto55,Y,C,,Y,Professional,2Med,Owner,Midwest,1,J
Y,F,2. Some College,197224,5upto55,Y,E,Married,N,Professional,2Med,Owner,South,4,F
N,F,1. HS,0,3upto35,Y,I,Married,N,Professional,1Low,Renter,Rest,3,D
Y,M,2. Some College,716784,3upto35,Y,B,Married,Y,Professional,2Med,Owner,South,1,J
N,F,2. Some College,0,1_Unk,Y,C,Married,U,Professional,1Low,Owner,South,5,B
N,M,0. lessHS,287040,7above65,Y,B,,N,Retired,1Low,Owner,South,1,G
Y,F,3. Bach,601854,5upto55,Y,B,,Y,Professional,3High,Owner,Northeast,1,H
N,M,1. HS,111725,5upto55,Y,I,,U,Professional,1Low,Owner,South,5,E
N,M,2. Some College,162400,6upto65,N,E,Married,U,Blue Collar,1Low,,Northeast,9,H
N,M,2. Some College,57879,6upto65,Y,E,Single,U,Professional,1Low,,Midwest,3,E
N,F,4. Grad,256150,5upto55,N,H,,N,Sales/Service,2Med,Owner,West,2,E
Y,M,4. Grad,1543440,5upto55,Y,B,Married,Y,Professional,3High,Owner,Northeast,1,L
N,M,2. Some College,187044,6upto65,N,I,,N,Sales/Service,1Low,Owner,South,3,E
N,F,1. HS,80049,4upto45,Y,J,,U,Blue Collar,1Low,Owner,South,8,B
N,F,2. Some College,152512,7above65,N,D,,N,Retired,1Low,Owner,South,2,C
Y,M,4. Grad,232676,6upto65,Y,C,Married,U,Professional,2Med,Owner,South,2,I
N,M,2. Some College,299466,4upto45,Y,C,Married,Y,Sales/Service,2Med,Owner,South,2,F
Y,M,3. Bach,57879,3upto35,Y,F,Married,U,Sales/Service,1Low,Owner,South,1,H
Y,M,2. Some College,636555,5upto55,Y,C,Married,Y,Professional,3High,Owner,West,2,J
N,M,3. Bach,435465,7above65,N,I,Married,N,Retired,2Med,Owner,West,1,F
N,F,4. Grad,150080,7above65,N,D,,N,Retired,1Low,,South,1,C
Y,M,,369782,1_Unk,Y,A,,U,Others,1Low,Renter,West,1,F
Y,M,2. Some College,170912,4upto45,Y,G,Married,Y,Blue Collar,1Low,Renter,Midwest,3,E
Y,F,3. Bach,267443,4upto45,Y,E,,Y,Sales/Service,2Med,Owner,South,1,G
N,M,3. Bach,161538,6upto65,Y,E,Single,Y,Others,1Low,Owner,South,7,E
N,F,1. HS,45583,6upto65,N,J,Married,N,Blue Collar,1Low,Owner,South,6,D
Y,M,1. HS,402542,6upto65,Y,B,Married,N,Professional,1Low,Owner,Northeast,1,I
N,M,0. lessHS,240236,1_Unk,N,G,,Y,Blue Collar,1Low,Owner,West,3,E
Y,M,1. HS,385206,6upto65,N,F,Single,U,Blue Collar,1Low,Owner,Northeast,1,C
Y,F,2. Some College,0,6upto65,N,J,Married,N,Others,1Low,Owner,West,4,D
Y,M,1. HS,681032,6upto65,Y,B,Married,N,Farm,3High,Owner,West,2,F
Y,M,1. HS,48635,6upto65,N,J,Married,Y,Sales/Service,1Low,Owner,Midwest,3,C
Y,M,0. lessHS,320242,5upto55,Y,E,Married,Y,Professional,1Low,Owner,Northeast,5,F
N,F,2. Some College,0,1_Unk,Y,H,,N,Professional,1Low,,South,5,H
N,F,2. Some College,101010,6upto65,Y,D,,N,Sales/Service,1Low,Owner,Midwest,4,C
Y,F,3. Bach,644007,4upto45,N,E,Married,U,Professional,1Low,,South,8,F
Y,M,3. Bach,180111,4upto45,Y,E,Married,U,Farm,1Low,Owner,South,1,E
N,M,3. Bach,287869,7above65,Y,B,Married,U,Professional,2Med,Owner,West,3,I
N,M,2. Some College,0,1_Unk,N,F,Married,U,Blue Collar,1Low,,Midwest,9,B
Y,F,2. Some College,921595,5upto55,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,H
Y,M,2. Some College,0,3upto35,Y,E,Married,U,Sales/Service,1Low,Renter,West,6,D
N,F,2. Some College,260193,4upto45,Y,C,,Y,Professional,3High,Owner,South,1,G
N,M,1. HS,0,1_Unk,Y,E,Single,U,Sales/Service,1Low,Renter,South,9,E
Y,F,2. Some College,304589,5upto55,Y,E,Married,Y,Professional,1Low,Owner,South,2,G
Y,F,3. Bach,353465,6upto65,Y,B,Married,N,Retired,1Low,Owner,Midwest,1,L
Y,M,3. Bach,226234,1_Unk,Y,C,,N,Professional,1Low,Owner,South,1,J
Y,M,4. Grad,427399,5upto55,Y,C,Married,U,Professional,3High,Owner,South,2,F
N,F,1. HS,0,5upto55,N,I,Single,Y,Sales/Service,1Low,Owner,South,7,B
Y,M,1. HS,529445,5upto55,N,E,,N,Professional,1Low,Owner,South,1,F
N,F,1. HS,218109,7above65,Y,D,Married,N,Retired,1Low,Owner,Northeast,2,C
Y,M,2. Some College,1485125,6upto65,Y,B,Married,N,Professional,1Low,Renter,Rest,1,B
Y,M,0. lessHS,504539,1_Unk,Y,C,Married,U,Professional,1Low,Owner,South,1,F
Y,M,4. Grad,724850,6upto65,Y,B,Married,U,Sales/Service,3High,Owner,Midwest,1,H
Y,M,,0,1_Unk,Y,U,,0,Others,1Low,,Northeast,0,U
N,M,1. HS,37278,4upto45,Y,J,Married,Y,Blue Collar,1Low,Owner,South,9,E
Y,M,3. Bach,282447,6upto65,Y,C,Married,N,Professional,3High,Owner,West,1,F
N,U,2. Some College,284582,1_Unk,Y,E,Married,U,Others,1Low,Renter,Northeast,6,G
Y,M,4. Grad,84673,4upto45,Y,I,Married,Y,Others,1Low,Owner,South,2,E
Y,M,3. Bach,147150,3upto35,N,B,,Y,Professional,3High,Owner,South,2,G
Y,M,0. lessHS,164590,4upto45,Y,F,Married,Y,Blue Collar,2Med,Owner,Midwest,5,F
N,F,1. HS,844052,7above65,Y,C,,N,Retired,2Med,Owner,Midwest,1,J
Y,U,1. HS,152055,1_Unk,Y,C,,Y,Blue Collar,1Low,Owner,South,4,E
Y,F,3. Bach,0,6upto65,Y,B,,Y,Professional,1Low,Owner,West,3,F
Y,M,4. Grad,480679,5upto55,N,B,Married,Y,Professional,1Low,Owner,West,1,E
N,U,2. Some College,413110,1_Unk,N,B,Single,N,Sales/Service,1Low,Renter,Northeast,3,A
N,M,3. Bach,248411,2upto25,Y,C,,N,Professional,1Low,Owner,Northeast,8,F
N,M,4. Grad,630434,7above65,Y,B,Married,N,Professional,1Low,Owner,Midwest,1,I
Y,M,2. Some College,501618,2upto25,Y,C,,Y,Sales/Service,2Med,Owner,West,2,H
N,M,2. Some College,0,5upto55,Y,J,Married,U,Professional,1Low,Owner,Northeast,3,F
Y,M,2. Some College,185300,1_Unk,Y,C,Married,U,Blue Collar,2Med,Owner,South,7,E
Y,M,4. Grad,323200,5upto55,N,B,,N,Professional,2Med,Owner,Northeast,1,K
N,F,2. Some College,106558,3upto35,Y,B,,N,Sales/Service,1Low,Owner,Northeast,3,F
Y,M,3. Bach,575727,5upto55,Y,C,Married,Y,Professional,1Low,Owner,Midwest,1,H
N,F,0. lessHS,0,7above65,N,I,,N,Retired,1Low,Owner,Midwest,1,B
N,F,3. Bach,379810,4upto45,Y,C,,Y,Sales/Service,3High,Owner,Northeast,2,E
Y,F,1. HS,541948,5upto55,Y,E,Single,U,Sales/Service,1Low,Renter,Northeast,9,D
N,M,1. HS,208626,7above65,Y,D,,N,Retired,1Low,Owner,Midwest,1,F
N,M,0. lessHS,213920,1_Unk,Y,I,,N,Sales/Service,1Low,Owner,Northeast,7,A
Y,M,,164808,1_Unk,Y,F,,Y,Sales/Service,1Low,Owner,Midwest,5,E
N,M,1. HS,75242,1_Unk,N,G,Single,N,Sales/Service,1Low,Renter,Northeast,2,C
N,F,2. Some College,48526,4upto45,Y,F,Married,U,Professional,1Low,Owner,South,1,E
Y,M,4. Grad,352288,5upto55,Y,C,Married,Y,Professional,1Low,Owner,Northeast,1,I
N,F,2. Some College,255605,1_Unk,Y,C,Married,Y,Sales/Service,2Med,Owner,South,3,E
Y,M,1. HS,820355,5upto55,N,C,Married,U,Professional,1Low,Owner,West,1,G
Y,M,2. Some College,168292,1_Unk,Y,H,Married,N,Professional,1Low,Owner,South,1,C
Y,M,2. Some College,0,1_Unk,Y,U,,0,Others,1Low,,West,0,U
N,M,3. Bach,690242,7above65,N,C,Married,Y,Retired,1Low,,Northeast,1,K
N,M,4. Grad,129434,5upto55,Y,E,Married,Y,Professional,1Low,Owner,West,3,F
N,F,1. HS,0,3upto35,N,F,Married,Y,Professional,1Low,Owner,Midwest,7,D
Y,M,4. Grad,578991,5upto55,Y,C,Married,Y,Professional,3High,Owner,South,2,E
Y,M,2. Some College,98879,5upto55,Y,F,Married,Y,Blue Collar,1Low,Renter,West,8,A
Y,U,0. lessHS,227592,1_Unk,N,I,,N,Others,1Low,Owner,South,2,A
Y,F,2. Some College,19707,5upto55,Y,D,,N,Retired,1Low,Owner,South,5,E
Y,M,3. Bach,0,1_Unk,Y,F,,N,Farm,1Low,Renter,South,7,C
Y,M,2. Some College,0,5upto55,N,E,,N,Others,1Low,Owner,Midwest,7,D
N,M,2. Some College,183011,1_Unk,Y,E,Single,U,Blue Collar,1Low,Renter,Northeast,8,F
N,F,3. Bach,766313,4upto45,Y,B,Married,Y,Professional,1Low,Owner,West,5,F
N,M,2. Some College,0,1_Unk,N,G,Single,Y,Blue Collar,1Low,Renter,South,9,E
N,F,1. HS,94121,7above65,Y,D,,N,Retired,1Low,Owner,Midwest,4,B
N,M,1. HS,205712,6upto65,Y,E,Single,U,Others,1Low,Owner,South,1,E
Y,M,2. Some College,207045,3upto35,Y,D,,N,Sales/Service,1Low,Owner,Midwest,2,E
Y,F,2. Some College,345550,6upto65,N,B,,N,Professional,2Med,Owner,South,2,F
Y,F,2. Some College,257065,4upto45,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,2,G
Y,M,,114992,1_Unk,Y,D,,N,Others,1Low,Owner,Midwest,2,E
Y,M,1. HS,0,1_Unk,Y,E,Single,Y,Blue Collar,1Low,Renter,Midwest,9,E
N,F,3. Bach,226218,7above65,Y,E,,Y,Professional,2Med,Owner,South,1,E
Y,F,3. Bach,240181,6upto65,Y,E,Single,N,Professional,1Low,Owner,Midwest,1,E
N,M,3. Bach,696074,2upto25,Y,B,,N,Professional,3High,Owner,South,1,J
N,F,2. Some College,357261,7above65,Y,G,,Y,Professional,1Low,Owner,Northeast,2,F
N,M,0. lessHS,79706,2upto25,N,G,Married,Y,Sales/Service,1Low,Owner,South,9,B
Y,M,0. lessHS,116902,4upto45,Y,J,Married,Y,Blue Collar,2Med,Owner,Midwest,1,A
Y,F,3. Bach,1256988,3upto35,Y,B,,Y,Professional,1Low,Owner,Northeast,1,L
N,M,1. HS,430070,6upto65,Y,B,,Y,Professional,1Low,Owner,South,1,E
N,F,1. HS,1547789,6upto65,N,B,Married,N,Retired,1Low,Owner,South,1,C
Y,M,3. Bach,196630,4upto45,Y,J,Married,U,Professional,1Low,Owner,South,1,F
N,M,0. lessHS,343350,6upto65,Y,B,Married,N,Sales/Service,2Med,Owner,Northeast,3,H
N,M,0. lessHS,0,7above65,N,D,,N,Retired,1Low,,Midwest,6,B
N,M,2. Some College,94459,2upto25,Y,E,,Y,Blue Collar,1Low,,West,3,D
Y,M,4. Grad,333125,7above65,Y,A,,U,Retired,1Low,Owner,South,1,F
N,F,1. HS,394111,5upto55,Y,B,Married,N,Blue Collar,1Low,Owner,South,3,H
Y,M,2. Some College,125890,3upto35,Y,E,Married,Y,Blue Collar,1Low,Owner,South,4,E
N,F,1. HS,95636,7above65,Y,D,,N,Retired,1Low,Owner,Midwest,3,A
Y,F,4. Grad,124859,5upto55,Y,E,,U,Professional,1Low,Owner,South,1,I
Y,M,1. HS,43883,5upto55,Y,J,Married,U,Others,1Low,Owner,South,6,E
N,F,1. HS,134615,7above65,Y,I,,N,Retired,1Low,Owner,Northeast,2,E
N,M,3. Bach,82970,1_Unk,N,F,,Y,Others,1Low,Owner,South,3,B
N,M,3. Bach,107583,5upto55,N,J,Married,Y,Sales/Service,1Low,Owner,Midwest,2,B
N,F,3. Bach,361040,5upto55,Y,C,Married,Y,Sales/Service,1Low,Owner,South,1,F
Y,M,2. Some College,506991,6upto65,Y,B,Married,N,Professional,3High,Owner,Northeast,1,K
Y,M,1. HS,259703,4upto45,Y,E,,N,Blue Collar,1Low,Owner,West,1,E
N,M,0. lessHS,961608,6upto65,N,C,Married,N,Sales/Service,1Low,Owner,South,4,I
Y,F,1. HS,444720,5upto55,N,J,Married,Y,Blue Collar,1Low,Owner,Northeast,5,F
Y,F,3. Bach,209000,1_Unk,Y,C,Married,U,Professional,2Med,Owner,Northeast,4,G
N,F,2. Some College,123442,1_Unk,N,I,Married,U,Professional,1Low,Renter,Northeast,3,I
Y,M,4. Grad,275770,5upto55,N,C,Married,Y,Professional,1Low,Owner,South,3,K
N,M,1. HS,167718,6upto65,N,I,Single,N,Others,1Low,Owner,Northeast,1,H
Y,M,3. Bach,503253,4upto45,Y,B,Married,Y,Professional,3High,Owner,South,1,J
N,F,1. HS,133906,5upto55,Y,D,,N,Professional,1Low,Owner,South,4,A
N,M,2. Some College,296153,2upto25,Y,B,,N,Sales/Service,1Low,Owner,West,2,E
Y,M,3. Bach,269791,4upto45,Y,C,Married,Y,Professional,3High,Owner,West,1,F
N,M,0. lessHS,138299,3upto35,N,J,,N,Blue Collar,1Low,Owner,South,4,E
Y,M,0. lessHS,272500,7above65,N,E,Married,N,Retired,3High,Owner,Northeast,2,F
Y,F,4. Grad,263562,5upto55,Y,B,,N,Professional,1Low,Owner,West,2,L
N,F,0. lessHS,0,1_Unk,N,G,Single,Y,Sales/Service,1Low,Renter,Midwest,9,A
Y,M,3. Bach,290703,6upto65,Y,B,Married,N,Professional,2Med,Owner,West,2,F
Y,M,4. Grad,0,3upto35,Y,G,Single,Y,Sales/Service,1Low,,South,2,C
N,M,4. Grad,1474552,6upto65,Y,B,Married,U,Professional,3High,Owner,West,1,L
Y,F,3. Bach,167260,6upto65,Y,I,Married,N,Professional,1Low,Owner,South,3,H
N,F,2. Some College,140228,2upto25,N,I,,U,Sales/Service,1Low,Owner,South,5,E
Y,F,3. Bach,389784,5upto55,Y,B,Married,U,Professional,1Low,Owner,South,1,F
N,M,1. HS,0,5upto55,Y,E,Married,Y,Professional,1Low,Owner,Midwest,1,F
N,M,2. Some College,37349,4upto45,N,F,Married,U,Blue Collar,1Low,Renter,Midwest,7,F
Y,M,4. Grad,527592,5upto55,N,C,,Y,Professional,2Med,Owner,South,2,K
Y,F,1. HS,0,6upto65,Y,J,Married,N,Professional,1Low,Renter,Northeast,2,E
Y,F,1. HS,68757,7above65,Y,H,,N,Retired,1Low,Owner,West,4,B
Y,M,3. Bach,0,7above65,N,A,Married,U,Sales/Service,1Low,Renter,West,1,G
Y,M,4. Grad,47142,6upto65,Y,B,Married,Y,Retired,1Low,Owner,South,3,G
Y,M,3. Bach,113796,5upto55,Y,F,Married,U,Blue Collar,1Low,Owner,South,2,H
N,F,2. Some College,0,3upto35,N,A,Married,Y,Blue Collar,1Low,Renter,West,9,D
N,M,2. Some College,0,5upto55,N,G,,Y,Sales/Service,1Low,Renter,Northeast,8,G
N,F,2. Some College,152303,5upto55,Y,I,Married,U,Sales/Service,1Low,Owner,Northeast,1,A
Y,M,1. HS,0,6upto65,N,E,,N,Retired,1Low,Renter,West,3,D
N,F,0. lessHS,254753,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,Midwest,9,C
Y,M,3. Bach,0,6upto65,Y,H,,N,Professional,1Low,,South,3,C
Y,M,3. Bach,2487816,7above65,Y,B,Married,U,Retired,3High,Owner,West,1,H
N,F,4. Grad,243724,4upto45,Y,C,Married,U,Sales/Service,1Low,,Northeast,8,G
N,F,1. HS,979234,3upto35,N,E,,Y,Professional,1Low,Owner,Rest,1,D
Y,M,2. Some College,753081,6upto65,N,B,Married,N,Sales/Service,3High,Owner,West,5,F
Y,F,3. Bach,234053,3upto35,N,C,Married,Y,Professional,1Low,Renter,Midwest,1,E
N,F,3. Bach,639012,5upto55,Y,B,Married,U,Sales/Service,3High,Owner,West,1,E
Y,F,1. HS,0,5upto55,Y,E,Married,Y,Others,1Low,Owner,Midwest,7,E
N,F,2. Some College,0,7above65,Y,D,,N,Retired,1Low,,West,3,A
N,F,1. HS,0,7above65,N,H,,N,Retired,1Low,Renter,Midwest,6,B
Y,F,1. HS,116412,5upto55,Y,G,,Y,Sales/Service,1Low,Owner,Midwest,4,H
N,M,3. Bach,693839,5upto55,Y,C,Married,Y,Professional,3High,Owner,South,1,K
N,F,1. HS,173310,7above65,Y,C,Married,Y,Retired,1Low,Owner,South,6,E
N,M,2. Some College,214021,3upto35,Y,I,,N,Sales/Service,1Low,Owner,Northeast,3,K
N,F,2. Some College,0,1_Unk,N,G,Single,N,Sales/Service,1Low,Renter,Northeast,8,E
Y,F,3. Bach,139213,6upto65,Y,J,Married,N,Professional,1Low,Owner,South,1,E
Y,F,2. Some College,336984,6upto65,Y,B,Married,N,Sales/Service,2Med,Owner,West,2,F
N,M,1. HS,222000,5upto55,Y,B,Married,U,Blue Collar,1Low,Owner,Midwest,1,H
Y,M,2. Some College,55459,2upto25,N,G,Single,N,Blue Collar,1Low,Renter,Midwest,6,F
Y,M,3. Bach,100444,4upto45,Y,F,Single,Y,Sales/Service,1Low,Renter,South,3,E
Y,F,2. Some College,309202,6upto65,Y,B,Married,Y,Professional,1Low,Owner,Midwest,1,H
N,F,2. Some College,81553,7above65,N,J,,U,Retired,1Low,Owner,Midwest,6,C
N,M,4. Grad,357847,5upto55,N,C,Married,N,Others,1Low,,South,1,F
Y,F,3. Bach,177321,5upto55,Y,D,Married,U,Others,1Low,Owner,West,1,G
Y,M,2. Some College,464470,4upto45,Y,C,Married,Y,Professional,3High,Owner,West,3,F
N,M,2. Some College,105141,3upto35,N,E,,U,Blue Collar,1Low,Owner,South,3,B
N,M,4. Grad,0,5upto55,N,G,Single,Y,Blue Collar,1Low,Renter,Northeast,3,E
N,F,1. HS,292087,5upto55,N,C,,N,Professional,1Low,Owner,Midwest,1,F
Y,M,4. Grad,129906,6upto65,Y,I,Single,N,Professional,1Low,Owner,South,3,E
Y,F,4. Grad,183338,5upto55,Y,E,,N,Professional,1Low,Owner,South,2,I
N,F,1. HS,226153,5upto55,Y,E,Married,Y,Blue Collar,1Low,Owner,Midwest,3,D
N,M,1. HS,0,7above65,Y,H,Married,N,Retired,1Low,Renter,Midwest,9,A
N,F,2. Some College,302246,3upto35,N,F,Single,N,Professional,2Med,Owner,Northeast,6,A
N,U,3. Bach,814464,1_Unk,Y,C,,U,Professional,1Low,Renter,West,1,K
Y,F,1. HS,188591,7above65,Y,D,Married,N,Others,1Low,Owner,West,8,E
Y,M,1. HS,137158,7above65,N,E,,Y,Retired,1Low,Renter,Northeast,9,H
Y,M,4. Grad,332317,6upto65,Y,B,Married,N,Professional,3High,Owner,West,5,F
N,F,2. Some College,0,1_Unk,N,B,,U,Blue Collar,1Low,Renter,Northeast,7,L
Y,M,2. Some College,87690,7above65,Y,J,Married,N,Professional,1Low,Owner,South,5,C
N,M,1. HS,58176,5upto55,Y,G,Married,Y,Blue Collar,1Low,Renter,Northeast,8,E
N,M,3. Bach,194435,1_Unk,N,A,Married,N,Professional,1Low,Owner,West,7,E
N,M,1. HS,455968,5upto55,N,E,Married,Y,Professional,2Med,Owner,West,3,F
Y,F,2. Some College,134342,6upto65,Y,A,Single,N,Professional,1Low,Owner,Midwest,4,E
Y,M,2. Some College,190750,1_Unk,Y,C,Married,U,Blue Collar,1Low,Owner,South,3,E
Y,F,2. Some College,177794,5upto55,N,I,Married,U,Professional,2Med,Owner,South,6,E
Y,M,1. HS,231952,7above65,N,J,,U,Blue Collar,1Low,Owner,South,2,I
N,M,3. Bach,138975,3upto35,Y,E,Married,Y,Professional,1Low,Owner,Midwest,4,E
N,M,0. lessHS,122928,1_Unk,N,E,Married,U,Sales/Service,1Low,Owner,Midwest,6,D
Y,M,3. Bach,516702,6upto65,Y,B,,N,Professional,3High,Owner,South,1,J
Y,U,3. Bach,67079,1_Unk,N,G,,Y,Professional,1Low,Owner,South,4,C
Y,M,2. Some College,176471,2upto25,N,F,,Y,Blue Collar,2Med,Owner,Northeast,2,F
N,F,,0,1_Unk,Y,J,,Y,Sales/Service,1Low,Renter,South,6,D
N,F,3. Bach,250874,1_Unk,Y,A,Single,U,Sales/Service,2Med,Owner,West,2,E
Y,M,3. Bach,0,5upto55,Y,E,Married,Y,Professional,1Low,Owner,Midwest,1,E
Y,M,2. Some College,574484,4upto45,Y,B,Married,U,Professional,2Med,Owner,West,2,F
N,F,1. HS,233570,5upto55,Y,B,Married,Y,Sales/Service,3High,Owner,South,4,F
N,M,2. Some College,0,2upto25,Y,E,Single,Y,Sales/Service,1Low,Renter,West,5,F
Y,F,3. Bach,0,6upto65,Y,B,Married,Y,Professional,1Low,,West,6,F
N,F,3. Bach,220626,7above65,Y,H,Married,N,Retired,2Med,Owner,West,7,A
N,F,1. HS,456982,6upto65,Y,E,Married,N,Sales/Service,1Low,Owner,Northeast,2,F
Y,M,1. HS,373870,1_Unk,Y,C,,N,Sales/Service,1Low,Owner,Midwest,1,H
Y,M,2. Some College,359961,2upto25,Y,E,,U,Sales/Service,2Med,Owner,South,2,H
N,M,1. HS,482652,5upto55,Y,C,,N,Professional,2Med,Owner,South,2,G
Y,M,3. Bach,181517,5upto55,Y,C,Married,Y,Professional,1Low,Owner,South,2,K
Y,F,2. Some College,194630,1_Unk,Y,C,Married,Y,Professional,1Low,Owner,Midwest,5,E
N,F,1. HS,138321,5upto55,Y,D,,N,Sales/Service,1Low,Owner,Midwest,2,E
N,F,0. lessHS,87360,7above65,Y,J,,Y,Retired,1Low,Owner,South,1,E
N,M,0. lessHS,208767,7above65,Y,D,Married,N,Retired,2Med,Owner,Midwest,3,E
N,U,1. HS,629039,1_Unk,N,C,,Y,Professional,2Med,Owner,West,3,I
Y,F,1. HS,429416,7above65,N,B,,Y,Retired,1Low,Owner,Northeast,2,F
Y,M,2. Some College,330847,5upto55,Y,H,Married,Y,Professional,1Low,Owner,Northeast,1,E
N,F,2. Some College,552043,2upto25,Y,D,,N,Others,1Low,Renter,South,1,F
Y,M,1. HS,81969,3upto35,Y,F,Single,Y,Sales/Service,1Low,Owner,Midwest,2,E
N,F,1. HS,49747,4upto45,N,J,Married,Y,Blue Collar,1Low,Owner,Midwest,7,D
Y,M,0. lessHS,588600,5upto55,Y,C,Married,Y,Blue Collar,3High,Owner,West,2,H
N,F,,0,1_Unk,N,F,Married,U,Sales/Service,1Low,Owner,Midwest,9,D
Y,M,1. HS,0,1_Unk,Y,G,Single,U,Blue Collar,1Low,Renter,Northeast,7,C
N,F,3. Bach,206010,4upto45,Y,C,Married,U,Sales/Service,1Low,Owner,Midwest,1,F
Y,M,3. Bach,0,5upto55,N,G,Married,U,Professional,1Low,,South,4,D
Y,M,1. HS,0,4upto45,Y,C,Married,Y,Blue Collar,1Low,Renter,West,9,H
N,M,1. HS,576337,7above65,Y,C,,Y,Retired,1Low,Owner,Northeast,2,I
N,F,2. Some College,116055,5upto55,N,E,,Y,Professional,1Low,Owner,South,4,H
N,M,1. HS,136860,1_Unk,Y,F,Married,U,Blue Collar,1Low,Owner,South,8,B
Y,M,3. Bach,0,3upto35,Y,G,Married,N,Professional,1Low,Renter,South,5,B
N,F,1. HS,77270,1_Unk,N,F,Single,Y,Sales/Service,1Low,Owner,South,9,A
N,M,4. Grad,292011,7above65,N,B,Married,N,Professional,2Med,Owner,Midwest,3,H
N,M,1. HS,0,5upto55,Y,E,Married,N,Professional,1Low,Owner,West,4,E
Y,M,3. Bach,375570,4upto45,N,C,Married,U,Professional,2Med,Owner,South,1,A
Y,M,3. Bach,734058,5upto55,Y,B,Married,U,Professional,3High,Owner,Northeast,1,L
Y,F,3. Bach,316863,6upto65,Y,B,,N,Professional,2Med,Owner,South,1,E
Y,F,4. Grad,178051,3upto35,Y,C,Married,U,Professional,1Low,,Midwest,4,K
Y,M,2. Some College,247715,4upto45,Y,C,Married,Y,Blue Collar,2Med,Owner,Northeast,3,G
N,F,3. Bach,140086,4upto45,Y,C,Married,Y,Professional,1Low,Owner,Midwest,6,E
Y,M,3. Bach,365150,4upto45,Y,C,Married,Y,Professional,3High,Owner,Midwest,2,I
Y,F,4. Grad,0,5upto55,Y,I,Married,U,Farm,1Low,Owner,South,1,F
Y,F,3. Bach,94080,1_Unk,Y,E,Single,U,Sales/Service,1Low,Renter,West,8,E
N,M,2. Some College,216801,4upto45,Y,H,Married,N,Blue Collar,1Low,Owner,West,4,D
Y,F,0. lessHS,198185,5upto55,Y,D,Married,N,Professional,1Low,Owner,South,2,I
